name,line,gender,in_out,latitude,longitude,num_gate,num_big_toilet,num_small_toilet,num_review,star
서울,1,M,IN,37.556878,126.972578,2,13,5,0,0.0
시청,1,M,IN,37.565682,126.976849,5,21,5,0,0.0
종각,1,M,IN,37.570175,126.983226,1,9,2,0,0.0
종각,1,M,IN,37.570175,126.983226,4,15,5,0,0.0
종로3가,1,M,IN,37.57042,126.992153,1,17,6,0,0.0
종로3가,1,M,IN,37.57042,126.992153,11,10,5,0,0.0
종로5가,1,M,IN,37.571743,127.011169,8,12,4,0,0.0
동대문,1,M,IN,37.576087,127.02456,4,16,6,0,0.0
동묘앞,1,M,OUT,37.573281,127.016649,2,2,2,0,0.0
동묘앞,1,M,IN,37.573281,127.016649,3,7,2,0,0.0
동묘앞,1,M,IN,37.573281,127.016649,2,2,2,0,0.0
동묘앞,1,M,IN,37.573281,127.016649,3,4,2,0,0.0
신설동,1,M,IN,37.578163,127.034687,1,17,4,0,0.0
제기동,1,M,IN,37.579984,127.045547,2,16,6,0,0.0
청량리,1,M,IN,57.580037,127.044727,4,4,3,0,0.0
시청,2,M,IN,37.563681,126.975598,10,15,4,0,0.0
시청,2,M,IN,37.563681,126.975598,11,13,5,0,0.0
을지로입구,2,M,IN,37.566171,126.990203,4,16,6,0,0.0
을지로3가,2,M,IN,37.566489,126.996528,2,18,8,0,0.0
을지로4가,2,M,IN,37.565718,127.008485,2,17,4,0,0.0
동대문역사문화공원,2,M,IN,37.565281,127.01664,1,26,8,0,0.0
신당,2,M,IN,37.563933,127.029793,2,18,6,0,0.0
상왕십리,2,M,IN,37.562259,127.037228,5,16,6,0,0.0
왕십리,2,M,IN,37.555259,127.043658,6,15,5,0,0.0
한양대,2,M,OUT,37.547177,127.04738,2,20,9,0,0.0
뚝섬,2,M,OUT,37.544601,127.056885,6,18,5,0,0.0
성수,2,M,OUT,37.558689,127.053172,2,17,4,0,0.0
건대입구,2,M,OUT,37.5404075,127.069202,2,27,9,0,0.0
구의,2,M,OUT,37.5371752,127.08618,2,10,4,0,0.0
강변,2,M,OUT,37.53511804,127.09474,2,20,6,0,0.0
잠실나루,2,M,OUT,37.52071241,127.1038088,2,14,4,0,0.0
잠실,2,M,IN,37.513311,127.100231,1,24,8,0,0.0
잠실새내,2,M,IN,37.511626,127.086314,2,16,5,0,0.0
종합운동장,2,M,IN,37.51114466,127.073849,1,15,5,0,0.0
종합운동장,2,M,IN,37.51114466,127.073849,5,9,7,0,0.0
삼성,2,M,IN,37.518622,127.1049,3,19,9,0,0.0
선릉,2,M,IN,37.517661,127.074659,1,17,4,0,0.0
역삼,2,M,IN,57.50067442,127.0364694,3,14,5,0,0.0
강남,2,M,IN,37.49808634,127.0280014,12,14,4,0,0.0
교대,2,M,IN,37.4939,127.0143838,4,15,5,0,0.0
서초,2,M,IN,37.49184993,127.0076621,1,13,5,0,0.0
방배,2,M,IN,37.508826,127.063067,4,14,4,0,0.0
사당,2,M,IN,37.47656223,126.9815586,1,9,4,0,0.0
사당,2,M,IN,37.47656223,126.9815586,7,20,7,0,0.0
낙성대,2,M,IN,37.47709324,126.9635239,5,17,5,0,0.0
서울대입구,2,M,IN,37.492765,127.010541,8,12,4,0,0.0
봉천,2,M,IN,37.481297,126.99732,2,9,4,0,0.0
신림,2,M,IN,37.48426714,126.9297454,4,19,7,0,0.0
신대방,2,M,OUT,37.48765046,126.9135075,4,18,4,0,0.0
구로디지털단지,2,M,OUT,37.477028,126.963396,1,14,6,0,0.0
대림,2,M,OUT,37.481113,126.952634,6,22,8,0,0.0
신도림,2,M,IN,37.482518,126.941481,1,19,8,0,0.0
신도림,2,M,IN,37.484178,126.929789,1,21,5,0,0.0
문래,2,M,IN,37.48751,126.912991,3,19,7,0,0.0
영등포구청,2,M,IN,37.485127,126.901529,2,20,6,0,0.0
당산,2,M,OUT,37.53478432,126.9026118,4,15,4,0,0.0
합정,2,M,IN,37.54991316,126.9144541,1,20,6,0,0.0
홍대입구,2,M,IN,37.514401,126.882685,2,28,8,0,0.0
신촌,2,M,IN,37.512518,126.865711,5,17,7,0,0.0
이대,2,M,IN,37.518294,126.853619,5,19,7,0,0.0
아현,2,M,IN,37.517887,126.894751,4,9,3,0,0.0
충정로,2,M,IN,37.525656,126.896614,6,12,4,0,0.0
신설동,2,M,IN,37.534931,126.90273,7,5,3,0,0.0
용두,2,M,IN,37.57406213,127.0382757,5,6,3,0,0.0
용두,2,M,IN,37.57406213,127.0382757,2,9,3,0,0.0
